Year,Municipality,Crop,Variety,Farms,Acres,Yield/Acre,t,i
1996,ALEXANDER,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),3,575,0.579,1,1
1996,ALEXANDER,ARGENTINE CANOLA,QUANTUM (91-21864 NA),6,1125,0.78,1,1
1996,ALEXANDER,ARGENTINE CANOLA,45A71 (NS1471)(ST),4,1012,0.756,1,1
1996,ALEXANDER,BARLEY,ROBUST,9,1247,1.607,1,1
1996,ALEXANDER,CANARYSEED,KEET,3,535,0.184,1,1
1996,ALEXANDER,OATS,ROBERT,4,659,1.215,1,1
1996,ALEXANDER,POLISH CANOLA,REWARD (S83-5009W),5,1043,0.278,1,1
1996,ALEXANDER,RED SPRING WHEAT,AC DOMAIN (BW 148),10,2240,1.163,1,1
1996,ALEXANDER,RED SPRING WHEAT,KATEPWA,8,1054,0.788,1,1
1996,ALEXANDER,RED SPRING WHEAT,ROBLIN,14,2507,0.874,1,1
1996,ALONSA,ALFALFA,ALGONQUIN,6,1130,2.552,1,2
1996,ALONSA,ALFALFA/GRASS MIX.,NO VAR (ALF & MEADOW BROME),3,639,1.479,1,2
1996,ALONSA,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),7,1115,1.534,1,2
1996,ALONSA,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),26,5104,1.642,1,2
1996,ALONSA,BARLEY,BEDFORD,6,801,1.351,1,2
1996,ALONSA,BARLEY,ROBUST,6,1027,1.411,1,2
1996,ALONSA,OATS,ROBERT,13,1256,1.039,1,2
1996,ALONSA,RED SPRING WHEAT,CDC TEAL (BW 616),7,1305,1.093,1,2
1996,ALONSA,RED SPRING WHEAT,KATEPWA,13,1988,0.998,1,2
1996,ARGYLE,ALFALFA,ALGONQUIN,7,559,2.061,1,3
1996,ARGYLE,ALFALFA,COMMON (DELETED),11,1161,2.09,1,3
1996,ARGYLE,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),19,1677,1.658,1,3
1996,ARGYLE,ARGENTINE CANOLA,CRUSHER (SV0 2406),5,652,0.683,1,3
1996,ARGYLE,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),10,1130,0.61,1,3
1996,ARGYLE,ARGENTINE CANOLA,QUANTUM (91-21864 NA),32,3624,0.711,1,3
1996,ARGYLE,ARGENTINE CANOLA,QUEST (RU3) (RT),8,1392,0.721,1,3
1996,ARGYLE,BARLEY,AC LACOMBE (BT 634),10,1189,1.619,1,3
1996,ARGYLE,BARLEY,ARGYLE,5,596,1.445,1,3
1996,ARGYLE,BARLEY,BEDFORD,49,6811,1.398,1,3
1996,ARGYLE,BARLEY,EXCEL (M52),13,2451,1.759,1,3
1996,ARGYLE,BARLEY,FALCON,3,559,1.456,1,3
1996,ARGYLE,BARLEY,ROBUST,23,3025,1.53,1,3
1996,ARGYLE,DURUM WHEAT,PLENTY (DT 606),3,556,0.76,1,3
1996,ARGYLE,DURUM WHEAT,SCEPTRE,3,675,0.779,1,3
1996,ARGYLE,FALL RYE,PRIMA,5,563,0.799,1,3
1996,ARGYLE,FLAX,FLANDERS (FP 859),36,4253,0.513,1,3
1996,ARGYLE,FLAX,MCGREGOR,5,821,0.618,1,3
1996,ARGYLE,FLAX,NORLIN,5,544,0.478,1,3
1996,ARGYLE,OATS,DUMONT,16,2304,0.912,1,3
1996,ARGYLE,OATS,RIEL,15,1172,1.031,1,3
1996,ARGYLE,OATS,ROBERT,38,4502,1.076,1,3
1996,ARGYLE,OIL SUNFLOWERS,INTERSTATE 6111,4,528,0.835,1,3
1996,ARGYLE,OIL SUNFLOWERS,NK 221,8,1211,0.692,1,3
1996,ARGYLE,RED SPRING WHEAT,AC CORA (BW 152),14,2149,1.044,1,3
1996,ARGYLE,RED SPRING WHEAT,AC DOMAIN (BW 148),58,12214,1.028,1,3
1996,ARGYLE,RED SPRING WHEAT,CDC TEAL (BW 616),43,12217,0.962,1,3
1996,ARGYLE,RED SPRING WHEAT,COLUMBUS,12,2766,0.917,1,3
1996,ARGYLE,RED SPRING WHEAT,KATEPWA,12,2719,0.976,1,3
1996,ARGYLE,RED SPRING WHEAT,PASQUA (BW 114),26,4937,0.793,1,3
1996,ARGYLE,RED SPRING WHEAT,ROBLIN,13,1860,0.708,1,3
1996,ARMSTRONG,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),6,603,1.402,1,4
1996,ARMSTRONG,OATS,ROBERT,11,924,0.903,1,4
1996,ARMSTRONG,RED SPRING WHEAT,ROBLIN,7,525,0.938,1,4
1996,BIFROST-RIVERTON,ALFALFA,ALGONQUIN,11,736,2.62,1,5
1996,BIFROST-RIVERTON,ALFALFA,COMMON (DELETED),24,2286,2.409,1,5
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,NO VAR (ALF & TIM),10,601,1.769,1,5
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),20,2655,1.894,1,5
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),15,847,1.414,1,5
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,AC ELECT (ACS-N8),8,820,0.806,1,5
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,QUANTUM (91-21864 NA),28,3561,0.832,1,5
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",32,4422,0.919,1,5
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,45A71 (NS1471)(ST),11,1111,0.806,1,5
1996,BIFROST-RIVERTON,BARLEY,AC LACOMBE (BT 634),20,2281,1.698,1,5
1996,BIFROST-RIVERTON,BARLEY,BEDFORD,11,1071,1.458,1,5
1996,BIFROST-RIVERTON,BARLEY,EXCEL (M52),8,903,1.926,1,5
1996,BIFROST-RIVERTON,BARLEY,FALCON,18,1953,1.48,1,5
1996,BIFROST-RIVERTON,BARLEY,ROBUST,53,7503,1.763,1,5
1996,BIFROST-RIVERTON,BARLEY,STANDER,53,7318,1.859,1,5
1996,BIFROST-RIVERTON,CANARYSEED,ELIAS,15,1907,0.632,1,5
1996,BIFROST-RIVERTON,CANARYSEED,KEET,4,605,0.597,1,5
1996,BIFROST-RIVERTON,EXTRA STRONG WHEAT,GLENLEA,14,1653,1.27,1,5
1996,BIFROST-RIVERTON,EXTRA STRONG WHEAT,WILDCAT,6,871,1.407,1,5
1996,BIFROST-RIVERTON,FIELD PEAS,CARNEVAL (SVE36121),9,1433,1.596,1,5
